software	year	n_articles
Seurat	2013	6
Seurat	2014	16
Seurat	2015	21
Seurat	2016	35
Seurat	2017	69
Seurat	2018	169
Seurat	2019	418
Seurat	2020	1199
Seurat	2021	2380
Seurat	2022	3918
Seurat	2023	5432
Seurat	2024	7492
Seurat	2025	9357
STAR	2000	74
STAR	2001	78
STAR	2002	114
STAR	2003	164
STAR	2004	214
STAR	2005	318
STAR	2006	452
STAR	2007	684
STAR	2008	1065
STAR	2009	1620
STAR	2010	2405
STAR	2011	3156
STAR	2012	4424
STAR	2013	5780
STAR	2014	7001
STAR	2015	8160
STAR	2016	9498
STAR	2017	11591
STAR	2018	13441
STAR	2019	16326
STAR	2020	22467
STAR	2021	30318
STAR	2022	35202
STAR	2023	34110
STAR	2024	35978
STAR	2025	34536
StringTie	2000	0
StringTie	2001	0
StringTie	2002	0
StringTie	2003	0
StringTie	2004	0
StringTie	2005	0
StringTie	2006	0
StringTie	2007	0
StringTie	2008	0
StringTie	2009	0
StringTie	2010	0
StringTie	2011	0
StringTie	2012	0
StringTie	2013	0
StringTie	2014	0
StringTie	2015	8
StringTie	2016	38
StringTie	2017	123
StringTie	2018	244
StringTie	2019	619
StringTie	2020	956
StringTie	2021	1617
StringTie	2022	2199
StringTie	2023	2206
StringTie	2024	2600
StringTie	2025	2780
TopHat	2000	0
TopHat	2001	0
TopHat	2002	0
TopHat	2003	0
TopHat	2004	0
TopHat	2005	0
TopHat	2006	1
TopHat	2007	1
TopHat	2008	2
TopHat	2009	8
TopHat	2010	36
TopHat	2011	112
TopHat	2012	233
TopHat	2013	539
TopHat	2014	902
TopHat	2015	1271
TopHat	2016	1657
TopHat	2017	1939
TopHat	2018	1971
TopHat	2019	1935
TopHat	2020	1856
TopHat	2021	1791
TopHat	2022	1522
TopHat	2023	1119
TopHat	2024	895
TopHat	2025	686
totalVI	2000	0
totalVI	2001	0
totalVI	2002	0
totalVI	2003	0
totalVI	2004	0
totalVI	2005	0
totalVI	2006	0
totalVI	2007	0
totalVI	2008	1
totalVI	2009	0
totalVI	2010	0
totalVI	2011	0
totalVI	2012	0
totalVI	2013	0
totalVI	2014	0
totalVI	2015	0
totalVI	2016	0
totalVI	2017	0
totalVI	2018	0
totalVI	2019	0
totalVI	2020	1
totalVI	2021	15
totalVI	2022	33
totalVI	2023	58
totalVI	2024	54
totalVI	2025	62
TRIAGE	2000	14
TRIAGE	2001	21
TRIAGE	2002	30
TRIAGE	2003	62
TRIAGE	2004	107
TRIAGE	2005	122
TRIAGE	2006	154
TRIAGE	2007	210
TRIAGE	2008	264
TRIAGE	2009	364
TRIAGE	2010	539
TRIAGE	2011	707
TRIAGE	2012	1007
TRIAGE	2013	1264
TRIAGE	2014	1528
TRIAGE	2015	1759
TRIAGE	2016	2076
TRIAGE	2017	2408
TRIAGE	2018	2759
TRIAGE	2019	3442
TRIAGE	2020	9988
TRIAGE	2021	10714
TRIAGE	2022	10486
TRIAGE	2023	8760
TRIAGE	2024	8667
TRIAGE	2025	10446
